"LF","VLF","LF_PCT","VLF_PCT","MEDIAN_REL_RR","TP","pNN25","RMSSD_REL_RR","higuci","SKEW_REL_RR","condition"
658.6994506,3346.642954,16.33928283,83.01471286,-0.000334888,4031.385328,5.2,0.008586893,1.211530689,1.598473062,3
1265.503419,4848.734222,20.61533885,78.98698454,-0.000587309,6138.649615,12.86666667,0.011208721,1.140727143,0.150548846,2
538.8248086,1448.744233,26.81812462,72.10618878,-0.000944741,2009.181538,2.4,0.007620823,1.187011967,-0.389353749,2
762.1142328,1677.490495,30.33074511,66.76103719,-0.001301738,2512.678901,10.2,0.01240036,1.272190332,-0.888469119,2
903.1909531,691.8013618,56.00574456,42.89773964,-0.001525298,1612.675557,3.8,0.00709097,1.151171846,0.241054199,1
779.634602,370.950086,66.81310334,31.78966963,-0.001243234,1166.888773,2.733333333,0.006680008,1.151731434,0.030098497,2
1909.519432,1975.652389,49.02826925,50.72627997,-0.001272669,3894.731469,31.2,0.011861016,1.23725903,-0.277353214,1
1995.808819,6452.599766,23.27262458,75.24214268,0.000333051,8575.77886,14.86666667,0.016614349,1.167773585,1.102591079,2
810.4652389,1218.371716,38.98912425,58.61231789,0.000541256,2078.695674,6.2,0.009718787,1.177035515,-0.65848787,1
1213.214831,3120.213422,27.96082713,71.91121133,-0.000461518,4338.980479,13.53333333,0.0069844,1.125707501,0.434493996,2
323.9121312,8685.031705,3.594733946,96.38533197,0.000732215,9010.740044,11.06666667,0.00441731,1.038066565,0.236375629,3
691.5500825,8003.216593,7.897633405,91.39825489,0.000421626,8756.421665,10.46666667,0.013734092,1.125184777,0.949251617,1
1441.591017,1653.420705,46.52346477,53.35969704,-0.001441208,3098.632107,18.4,0.008455041,1.175237181,0.144340704,1
569.7789127,2308.474373,19.68856193,79.76873069,-0.000295489,2893.959015,6.6,0.007600454,1.18244703,-0.161159872,3
740.1123253,1454.611178,33.29606153,65.43982801,6.09e-05,2222.822434,4.933333333,0.009247928,1.194960604,-0.545085427,1
568.1562288,1015.701521,35.14384373,62.82718329,-0.000493399,1616.659331,5.4,0.009266091,1.267909516,-0.026550783,3
1436.61838,975.0708243,58.93325554,39.9995565,-0.000936443,2437.704089,6.533333333,0.008925112,1.137519777,-0.886045084,2
1806.314262,2180.506798,45.19656211,54.55939368,-0.000971588,3996.574469,27.86666667,0.011139719,1.223473898,-0.382717138,1
855.3395525,4215.635577,16.44304088,81.04134541,0.000267282,5201.833157,7.466666667,0.018610113,1.197609293,0.67760444,2
429.4419562,1554.345939,21.63942802,78.32294116,0.000200185,1984.534692,2.466666667,0.004118761,1.131733302,-0.754591004,3
553.6155565,1446.275558,27.33395429,71.40772965,0.000167644,2025.376755,3.6,0.007616128,1.199313424,-0.06697551,2
965.6254014,2424.956671,28.3675174,71.23880593,0.000263271,3403.982759,12.26666667,0.008762101,1.188658443,-0.528126199,2
919.36348,5011.56664,15.50018764,84.49348379,-0.000340182,5931.305487,18.26666667,0.005695053,1.085268131,0.51023431,3
533.5242778,526.2073025,46.74620616,46.10510912,-0.001382783,1141.321022,6,0.012803927,1.291847985,0.178257471,2
328.5868296,380.8170598,43.60682972,50.53831494,0.000473593,753.5214821,1.2,0.008888941,1.305827305,-0.276169349,2
723.4698735,1282.536171,35.76617164,63.40472561,0.000165581,2022.776944,6.866666667,0.00911112,1.21955514,-1.047388043,2
1814.509107,2781.744714,39.44826627,60.47641521,-0.000871913,4599.71826,27.13333333,0.009353489,1.153340083,0.087820147,1
2137.758277,1845.42814,53.18984043,45.91633644,-0.00098367,4019.110153,26.13333333,0.012321571,1.203401396,-0.124284092,1
411.5377935,1291.009225,23.90196408,74.98134224,0.000362827,1721.77396,1.533333333,0.006389766,1.155823268,-0.449303162,1
441.7891161,536.1315629,43.89123521,53.26404765,-0.000999832,1006.554302,1.666666667,0.007622013,1.211426593,-0.353608027,2
463.6138277,1037.585524,30.45021376,68.14874608,-0.000629703,1522.530618,1.666666667,0.007040787,1.194406749,-0.378052944,2
1630.850452,1995.792326,44.91597749,54.96700392,-0.00076235,3630.891597,24.66666667,0.00963648,1.178216912,0.04554093,1
2547.219856,976.2574866,69.58512039,26.66946655,-0.001943037,3660.581229,29.93333333,0.017390855,1.223111586,0.263237059,1
787.3825626,1342.792511,36.86593921,62.87071805,1.46e-05,2135.799547,7.066666667,0.006887667,1.157954754,-0.526375441,1
772.4907932,2333.971508,24.65531101,74.4925298,0.000320852,3133.161828,6.666666667,0.00963611,1.149021104,-0.905056723,2
864.7633897,862.4014069,47.52968094,47.39986012,-0.001631764,1819.41762,13.26666667,0.013903101,1.306540726,-0.223837652,1
1220.283038,2272.078482,34.76839819,64.73623487,-0.000326346,3509.74765,13.93333333,0.009928903,1.183164633,-0.435979462,1
1943.479368,2136.491767,46.61090022,51.23995975,-0.001195469,4169.581276,18.2,0.015164113,1.168475828,-0.027029904,3
359.850288,393.9394054,45.89197693,50.23938762,-0.000649315,784.1246162,2.266666667,0.008632406,1.301504076,-0.430817522,1
592.9014961,382.5983394,55.1321517,35.57668487,-0.000333111,1075.418749,8.733333333,0.013807847,1.345857708,-0.316866924,1
1257.869984,1708.143562,42.26190103,57.39018746,-0.000161745,2976.368676,14.4,0.009187788,1.217861344,-0.542645418,3
882.8876228,1367.39236,38.96798276,60.35255284,-0.000342099,2265.674434,7.4,0.007903695,1.193599245,-0.142221136,1
422.5648907,741.0868656,36.01290097,63.15879167,-0.000735621,1173.370874,1.666666667,0.006111756,1.212315014,-0.259050013,3
1088.521141,1647.230869,39.35159975,59.54975741,-0.000401124,2766.142032,11.53333333,0.009691352,1.210185716,-0.874953696,2
430.7554068,2164.988142,16.49425391,82.90055928,0.000220796,2611.548294,1.6,0.006046973,1.143089561,2.928368972,2
1453.754431,2038.565514,40.94362783,57.41428257,0.000550592,3550.624379,9.4,0.012038208,1.159487963,-0.501482304,2
932.9714312,5773.238226,13.86524649,85.79830891,0.000960877,6728.848504,12.8,0.01160326,1.106301668,0.249501566,3
641.6509955,5905.607364,9.788172482,90.08807576,-0.000303762,6555.370746,9.466666667,0.006655491,1.061278515,0.340159027,3
461.9390247,1323.205346,25.56944037,73.24261078,-0.000434213,1806.605925,0.866666667,0.006412065,1.143317771,-0.261218412,2
864.3331446,616.0451386,57.82763486,41.21609076,-0.001321313,1494.671443,2.866666667,0.00690813,1.148789493,-0.001888414,2
1147.407639,2633.405686,30.23125948,69.38351109,2.29e-05,3795.434455,14.6,0.009564059,1.201511427,-0.611013327,2
726.3527775,2870.035994,20.16369173,79.67274696,0.000133944,3602.28071,7.6,0.00581228,1.103723637,0.114874557,3
421.8684835,4753.811143,8.094644964,91.21424076,0.000131642,5211.698418,8.933333333,0.009639662,1.07720587,-0.422897248,2
667.8060188,2385.016606,21.60655463,77.16610835,0.000344119,3090.756625,5.8,0.009604641,1.188900656,0.209525983,2
698.2701859,4592.695811,12.94712152,85.15642223,0.00043617,5393.246558,6.6,0.013637543,1.168150228,1.878184957,2
608.3923103,4839.714364,11.12078422,88.46498911,-1.93e-05,5470.768055,7.266666667,0.015197547,1.116246195,1.163450466,2
276.4709747,417.7680015,38.61701143,58.35314793,-0.000914877,715.9305304,1,0.006390643,1.237226791,-0.190458399,3
915.5288134,1114.938203,44.29879383,53.94742021,0.000937131,2066.712735,4,0.009116008,1.152260852,-0.149111715,2
1174.607428,3233.737354,26.43736254,72.78302924,0.000188207,4442.98264,10.33333333,0.010538517,1.148904286,-0.65694336,3
514.2325311,1198.194646,29.74238473,69.30165632,2.05e-05,1728.95528,3.466666667,0.007609972,1.221389505,-0.643453883,2
454.3670296,3776.06725,10.7348019,89.21275367,-0.000607584,4232.654071,10.4,0.006243935,1.139000754,0.565537536,1
893.956349,3096.482616,22.38025696,77.5206493,0.000276491,3994.397163,11.4,0.006351509,1.127600155,0.057802115,2
601.6929837,564.6867501,50.37727888,47.27889914,0.000132529,1194.373728,2.4,0.007110387,1.167651904,0.603106364,2
474.5610771,734.800375,37.86419151,58.6281165,-0.000476524,1253.324205,3.4,0.010204223,1.281203044,-0.462300163,2
2282.505134,1481.774928,60.14721289,39.04684844,-0.002236871,3794.864342,30,0.012746843,1.221441759,0.005376929,1
568.3282682,5252.473552,9.758616352,90.1888524,3.97e-05,5823.861167,7.933333333,0.006375198,1.05798779,-0.040907586,1
612.1312282,1490.59329,28.70877361,69.90838457,0.000323356,2132.209604,2.933333333,0.007166174,1.159297784,3.30500648,2
